brand,product,link,product_description,image_link
KALINI,Kurta With Trousers & Dupatta,https://www.myntra.com/kurta-sets/kalini/kalini-ethnic-motifs-yoke-design-gotta-patti-kurta-with-trousers--dupatta/25260156/buy,"Ethnic motifs yoke design | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Gotta patti detail | Calf length length with straight hem | Cotton blend machine weave fabric | Solid Trousers | Elasticated waistband","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25260156/2023/9/29/3d04b8b4-1104-4801-bed4-17ebf98223301695968509595KALINIWomenPinkEthnicMotifsYokeDesignRegularGottaPattiKurtaw1.jpg"
KALINI,Anarkali Pure Cotton Kurta Set,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-anarkali-pure-cotton-kurta-with-trousers--with-dupatta/25234310/buy,"Floral printed | Anarkali shape | Regularstyle | Round neck, three-quarter regular sleeves | Calf length length with flared hem | Pure cotton machine weave fabric | Printed Trousers | Elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/25234310/2023/9/26/d6241239-dca6-4347-b0e9-f8b57181d25d1695713495036KurtaSets1.jpg"
anayna,Kurta With Trousers & Dupatta,https://www.myntra.com/kurta-sets/anayna/anayna--anarkali-pure-cotton-kurta-with-trousers--dupatta/23158876/buy,"Solid | Anarkali shape | Regular style | V-neck, three-quarter regular sleeves | Calf length with flared hem | Pure cotton machine weave fabric | Solid Trousers | Partially elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/23158876/2023/10/4/ba6838bf-93c1-47d0-8948-790b3727f5711696415342531-anayna--Anarkali-Pure-Cotton-Kurta-With-Trousers--Dupatta-45-12.jpg"
KALINI,Floral Embroidered Kurta,https://www.myntra.com/kurtas/kalini/kalini-floral-embroidered-chikankari-straight-kurta/28902252/buy,"Teal-blue and white kurta | Floral embroidered | Notch neck | Three-quarter, regular sleeves | Straight shape with regular style | Chikankari detail | Calf length with straight hem | Machine weave regular cotton blend","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28902252/2024/4/17/3efbc7cd-74ab-4cc0-9c1e-87a80e31788c1713367012358KALINIWomenTealStraightChikankariEmbroideredKurti1.jpg"
KALINI,Kurta with Trousers & Dupatta,https://www.myntra.com/kurta-sets/kalini/kalini-women-ethnic-motifs-printed-regular-kurta-with-trousers--dupatta/24467536/buy,"Floral printed | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Calf length with straight hem | Cotton blend machine weave fabric | Printed Trousers | Elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24467536/2023/8/12/55104dbd-c44b-4454-8a6c-9622152ecf881691821337185KALINIWomenPurpleEthnicMotifsPrintedKurtawithTrouserDupatta7.jpg"
KALINI,A-Line Kurta with Trouser,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-v-neck-a-line-kurta-with-trouser/28010226/buy,"Floral printed | A-line shape | Regular style | V-neck | Three-quarter, regular sleeves | 2 pockets | Calf length with flared hem | Cotton blend machine weave fabric | Printed Trouser | Elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/28010226/2024/3/4/e5ca37b0-8307-4ef1-b904-8175620893db1709546334858KALINIWomenBeigePrintedStraightKurtawithTrousers1.jpg"
SINGNI,Women Embroidered Kurta Set,https://www.myntra.com/kurta-sets/singni/singni-women-purple-ethnic-motifs-embroidered-mirror-work-kurta-with-trousers--dupatta/20695836/buy,"Ethnic motifs embroidered | Anarkali shape | Regular style | Round neck, three-quarter regular sleeves | Mirror work detail | Floor length length with flared hem | Viscose rayon machine weave fabric | Printed Trousers | Elasticated waistband","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/20695836/2022/11/10/ba1724c2-c606-481c-a0ca-63424b61a8661668078028270WomensRayonPrintedEmbroideredKurtaWithPantAndDupatta1.jpg"
KALINI,Kurta with Trousers & Dupatta,https://www.myntra.com/kurta-sets/kalini/kalini-bandhani-printed-regular-kurta-with-trousers--dupatta/24467524/buy,"Bandhani printed | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Calf length length with straight hem | Cotton blend machine weave fabric | Solid Trousers | Elasticated waistband","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/24467524/2023/8/12/efdcb402-0d28-4e24-bfba-aeef0cf2feee1691823790580KALINIWomenNavyBlueEthnicMotifsPrintedKurtawithTrouserDupatt1.jpg"
Anouk,Kurta With Patiala & Dupatta,https://www.myntra.com/kurta-sets/anouk/anouk-floral-yoke-design-pure-cotton-straight-kurta-with-patiala--dupatta/26975612/buy,"Floral yoke design | Straight shape | Regular style | V-neck, three-quarter regular sleeves | Aari work detail | Knee length with straight hem | Pure cotton machine weave fabric | Printed Patiala | Elasticated waistband | Slip-on closure | Printed pattern | Tassels border","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/26975612/2024/1/14/2ce65770-686e-4041-b533-44dab683800a1705241974914ANOUKCottonYellowKurtawithPatialaandDupatta6.jpg"
Varanga,Women Printed Kurta with Trousers With Dupatta,https://www.myntra.com/kurta-sets/varanga/varanga-floral-printed-regular-sequinned-kurta-with-trousers--with-dupatta/22551322/buy,"Floral printed | Straight shape | Regular style | Round neck, three-quarter regular sleeves | Sequinned detail | Calf length length with straight hem | Silk blend machine weave fabric | Solid Trousers | Partially elasticated waistband | Slip-on closure","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/22551322/2023/3/31/2dea6c02-8f31-434e-8ba6-75be0e871b7e1680249582135-Varanga-Women-Kurta-Sets-1081680249581452-1.jpg"
